package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
8ef53bb5-20ba-47f4-9bea-4a781605e262,8a60a711-5f48-49c5-91a9-7b22127a0f05,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Maximum Required Inlet Pressure at Gas Train","unit":null,"value":"14","category":"Heating Section - Gas Fired (Natural Gas)"}",14,,Heating Section - Gas Fired (Natural Gas),Maximum Required Inlet Pressure at Gas Train
d30d2592-e779-44e8-9b89-2a530fa7de29,137a1ac9-5bfa-4232-a06f-058cb0db9e5a,419274a1-40e3-476d-a612-2a800ba9d919,e20e886d-fb80-4bb8-b25f-374b29304f6b,Efficiency,,,b50e82be-8884-60bd-1cd7-4378e71c41d6,Percent,"{"kind":"flat","type":"Efficiency","unit":"%","value":"79.4","category":"Heat Exchanger (Summer)"}",79.4,%,Heat Exchanger (Summer),Efficiency
d30d2592-e779-44e8-9b89-2a530fa7de29,5560bed5-628b-4d88-9878-22768170a9ca,419274a1-40e3-476d-a612-2a800ba9d919,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total Capacity","unit":"MBH","value":"318.5","category":"Cooling Coil - Direct Expansion"}",318.5,MBH,Cooling Coil - Direct Expansion,Total Capacity
d30d2592-e779-44e8-9b89-2a530fa7de29,7d9bf965-da2d-449d-b4d3-2afb1b4ba1c2,419274a1-40e3-476d-a612-2a800ba9d919,6b991434-66c8-4d7d-929d-ff34a7df9384,Refrigerant Type,,,,,"{"kind":"flat","type":"Refrigerant Type","unit":null,"value":"R-32","category":"Integrated Air Cooled Condensing Unit"}",R-32,,Integrated Air Cooled Condensing Unit,Refrigerant Type
d30d2592-e779-44e8-9b89-2a530fa7de29,f773e1d4-695a-4ada-97b9-d1ab25618dcf,419274a1-40e3-476d-a612-2a800ba9d919,83366f87-b79f-405b-9781-fa6362d82445,Input,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Input","unit":"MBH","value":"600","category":"Capacity"}",600,MBH,Capacity,Input
d30d2592-e779-44e8-9b89-2a530fa7de29,31f2d42a-9174-4e6d-937e-73c109cfbab6,419274a1-40e3-476d-a612-2a800ba9d919,29721d76-3701-443f-ad64-6c0e38fea762,Output,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Output","unit":"MBH","value":"486","category":"Capacity"}",486,MBH,Capacity,Output
d30d2592-e779-44e8-9b89-2a530fa7de29,bffb15a0-beca-4b32-9ab0-84a0f0af0114,419274a1-40e3-476d-a612-2a800ba9d919,e3d4ec12-cafa-4278-a4a6-322cdec8d79c,Heat Recovery Type,,,,,"{"kind":"flat","type":"Heat Exchanger Type","unit":null,"value":"DIRECT","category":"Heating Section - Gas Fired (Natural Gas)"}",DIRECT,,Heating Section - Gas Fired (Natural Gas),Heat Exchanger Type
d30d2592-e779-44e8-9b89-2a530fa7de29,31b0b3e1-c7e3-4fcd-8fe8-4b05320ed9d4,419274a1-40e3-476d-a612-2a800ba9d919,ce1d6df2-55ae-4331-a614-f7446b0f8dcc,Filter Type,828c1e07-635d-480c-b0f7-bf107c53c118,MERV 13,,,"{"kind":"flat","type":"MERV","unit":null,"value":"13","category":"Outside Air Filters"}",13,,Outside Air Filters,MERV
d30d2592-e779-44e8-9b89-2a530fa7de29,6f48479c-e122-4a52-b63a-f21837693726,419274a1-40e3-476d-a612-2a800ba9d919,847790a6-c415-430a-80ca-1f6b3360fd8d,Area,,,,,"{"kind":"flat","type":"Area","unit":"SQ. FT.","value":"24.0","category":"Outside Air Filters"}",24.0,SQ. FT.,Outside Air Filters,Area
d30d2592-e779-44e8-9b89-2a530fa7de29,8ace7b65-a404-41af-baf3-7990b267716c,419274a1-40e3-476d-a612-2a800ba9d919,778e1224-58f6-4cb6-af6f-7227bc5c219a,Height,,,,,"{"kind":"flat","type":"Height","unit":null,"value":"18","category":"Curb"}",18,,Curb,Height
d30d2592-e779-44e8-9b89-2a530fa7de29,40496973-022c-464c-a6a7-4c21af71f04a,419274a1-40e3-476d-a612-2a800ba9d919,2da9ea27-8c84-4868-809b-002ec08f6315,Weight,,,,,"{"kind":"flat","type":"Unit Weight w/ Curb","unit":"LBS.","value":"11600","category":"Curb"}",11600,LBS.,Curb,Unit Weight w/ Curb
d30d2592-e779-44e8-9b89-2a530fa7de29,7d62df78-6324-4182-b0e9-ffd9f87295d2,419274a1-40e3-476d-a612-2a800ba9d919,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,"{"kind":"flat","type":"Volts","unit":null,"value":"480","category":"Electrical"}",480,,Electrical,Volts
d30d2592-e779-44e8-9b89-2a530fa7de29,03addfa7-0bff-42a8-8e18-6aef60785423,419274a1-40e3-476d-a612-2a800ba9d919,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,dda99289-4130-4af0-b6c3-1e1b68254bc8,3Ø,,,"{"kind":"flat","type":"Phase","unit":null,"value":"3","category":"Electrical"}",3,,Electrical,Phase
d30d2592-e779-44e8-9b89-2a530fa7de29,c7aa64a4-1baa-487c-9d21-6b3760eba029,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"FLA","unit":null,"value":"92","category":"Electrical"}",92,,Electrical,FLA
d30d2592-e779-44e8-9b89-2a530fa7de29,cfa87f79-f11c-4c8b-a2e1-7c36432c674c,419274a1-40e3-476d-a612-2a800ba9d919,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"TSP","unit":"in. WG","value":"3.43","category":"Exhaust Fan"}",3.43,in. WG,Exhaust Fan,TSP
d30d2592-e779-44e8-9b89-2a530fa7de29,d4c53742-96e7-4b14-aca5-dbb6997cf21c,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Control Type","unit":null,"value":"VFC","category":"Motor"}",VFC,,Motor,Control Type
d30d2592-e779-44e8-9b89-2a530fa7de29,85ab46c9-2a31-4180-8121-3eab3bf6c3c3,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"2.08","category":"Motor"}",2.08,,Motor,BHP
d30d2592-e779-44e8-9b89-2a530fa7de29,39f23296-c5e9-4b01-be1e-7509e13a0518,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"HP","unit":null,"value":"3","category":"Motor"}",3,,Motor,HP
d30d2592-e779-44e8-9b89-2a530fa7de29,1c92378b-1337-4320-8b68-7f24dcd9d6a6,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"91.0","category":"Supply Side"}",91.0,°F,Supply Side,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,22e7fba8-a9a9-4a49-a450-7923ccf85f60,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"79.2","category":"Supply Side"}",79.2,°F,Supply Side,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,26a27046-f573-4b9a-9bf6-6f0cf8ebb5fc,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.48","category":"Supply Side"}",0.48,IN. WG.,Supply Side,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,e9f898fe-c1a8-40de-bd87-856ccf75eb0e,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"75.0","category":"Exhaust Side"}",75.0,°F,Exhaust Side,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,7bf4759f-cfcd-46e4-b721-3fbaee5aba08,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"84.9","category":"Exhaust Side"}",84.9,°F,Exhaust Side,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,9001d375-ec32-40f4-bb9b-96da3459c029,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.48","category":"Exhaust Side"}",0.48,IN. WG.,Exhaust Side,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,10bfcb25-c6f1-40d4-ba09-bc6cb4bab80e,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"-10.0","category":"Supply Side"}",-10.0,°F,Supply Side,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,40746348-67aa-4033-ab6f-4af08f01cca7,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"46.0","category":"Supply Side"}",46.0,°F,Supply Side,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,03b44e3f-5818-4919-8677-4cec16006a4c,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.48","category":"Supply Side"}",0.48,IN. WG.,Supply Side,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,5e644f26-b087-41bd-94e0-d25c05b2ad03,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"70.0","category":"Exhaust Side"}",70.0,°F,Exhaust Side,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,ca6a92b5-315a-446a-99ce-841ba3d2b9d0,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"1.2","category":"Exhaust Side"}",1.2,°F,Exhaust Side,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,50cea99f-d21e-41f7-9426-00d699187fb2,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.48","category":"Exhaust Side"}",0.48,IN. WG.,Exhaust Side,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,8be1b9e9-e684-4cd5-8add-b2b18c79fdb5,419274a1-40e3-476d-a612-2a800ba9d919,,,,,b50e82be-8884-60bd-1cd7-4378e71c41d6,Percent,"{"kind":"flat","type":"Efficiency","unit":"%","value":"84.0","category":"Heat Exchanger (Winter)"}",84.0,%,Heat Exchanger (Winter),Efficiency
d30d2592-e779-44e8-9b89-2a530fa7de29,e135e4e1-1d64-4b01-a944-ea1dda9a554b,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"76.6","category":"Cooling Coil - Direct Expansion"}",76.6,°F,Cooling Coil - Direct Expansion,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,a0260ebd-ca04-4ba8-a4a2-2ac926edda12,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"53.8","category":"Cooling Coil - Direct Expansion"}",53.8,°F,Cooling Coil - Direct Expansion,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,e36f1c62-fe22-448d-a6ce-a504c09b4581,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.34","category":"Cooling Coil - Direct Expansion"}",0.34,IN. WG.,Cooling Coil - Direct Expansion,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,d25fe2bb-8f3e-494d-b31b-b08736912dad,419274a1-40e3-476d-a612-2a800ba9d919,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total Capacity","unit":"MBH","value":"190.1","category":"Hot Gas Reheat Coil - Direct Expansion"}",190.1,MBH,Hot Gas Reheat Coil - Direct Expansion,Total Capacity
d30d2592-e779-44e8-9b89-2a530fa7de29,1d9026ca-242a-4be5-90ce-a66ac6e4f7a6,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.D.B.","unit":"°F","value":"53.8","category":"Hot Gas Reheat Coil - Direct Expansion"}",53.8,°F,Hot Gas Reheat Coil - Direct Expansion,E.D.B.
d30d2592-e779-44e8-9b89-2a530fa7de29,330ecfe5-491f-4890-8903-c78448a66500,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.D.B.","unit":"°F","value":"69.7","category":"Hot Gas Reheat Coil - Direct Expansion"}",69.7,°F,Hot Gas Reheat Coil - Direct Expansion,L.D.B.
d30d2592-e779-44e8-9b89-2a530fa7de29,af30922a-cd26-4591-bddf-2b116e4327f5,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"A.P.D.","unit":"IN. WG.","value":"0.48","category":"Hot Gas Reheat Coil - Direct Expansion"}",0.48,IN. WG.,Hot Gas Reheat Coil - Direct Expansion,A.P.D.
d30d2592-e779-44e8-9b89-2a530fa7de29,6fa3905b-6b9e-4f51-a90b-437311853972,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Design Max Ambient Temp. at DX Cooling","unit":"°F","value":"95","category":"Integrated Air Cooled Condensing Unit"}",95,°F,Integrated Air Cooled Condensing Unit,Design Max Ambient Temp. at DX Cooling
d30d2592-e779-44e8-9b89-2a530fa7de29,636a4533-7d80-47c5-8c99-1b13c3c58cc3,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Design Min Ambient Temp. at DX Cooling","unit":"°F","value":"45","category":"Integrated Air Cooled Condensing Unit"}",45,°F,Integrated Air Cooled Condensing Unit,Design Min Ambient Temp. at DX Cooling
d30d2592-e779-44e8-9b89-2a530fa7de29,4932b757-ce2f-4029-96f0-fcd491c28943,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"E.A.T.","unit":"°F","value":"61.1","category":"Air Temp"}",61.1,°F,Air Temp,E.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,e5492902-cb03-43cd-9e17-8547489e94bc,419274a1-40e3-476d-a612-2a800ba9d919,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"L.A.T.","unit":"°F","value":"101.5","category":"Air Temp"}",101.5,°F,Air Temp,L.A.T.
d30d2592-e779-44e8-9b89-2a530fa7de29,c4f41d67-cff4-4a02-857d-21a50af157ad,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Min","unit":null,"value":"6","category":"Manufacturer Required Inlet Pressure At Gas Train"}",6,,Manufacturer Required Inlet Pressure At Gas Train,Min
d30d2592-e779-44e8-9b89-2a530fa7de29,4fd81c82-bfe6-4753-a912-99c3e52bf1c9,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Max","unit":null,"value":"10.5","category":"Manufacturer Required Inlet Pressure At Gas Train"}",10.5,,Manufacturer Required Inlet Pressure At Gas Train,Max
d30d2592-e779-44e8-9b89-2a530fa7de29,b6a44b73-eb0e-4b25-88ec-6ca352955ca2,419274a1-40e3-476d-a612-2a800ba9d919,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"SP Total","unit":"in. WG","value":"0.82","category":"Outside Air Filters"}",0.82,in. WG,Outside Air Filters,SP Total
d30d2592-e779-44e8-9b89-2a530fa7de29,85fcebec-d524-41b2-8e92-5cf40770930d,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Standard","unit":null,"value":"NO","category":"Curb"}",NO,,Curb,Standard
d30d2592-e779-44e8-9b89-2a530fa7de29,1a5d1243-a9c7-4d99-b684-9e14036a9973,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Vibration Isolation Spring Curb","unit":null,"value":"YES","category":"Curb"}",YES,,Curb,Vibration Isolation Spring Curb
d30d2592-e779-44e8-9b89-2a530fa7de29,9eea2ebf-943c-4779-951f-68fd009e83ce,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"SA/RA Config.","unit":null,"value":"BOTTOM","category":"Curb"}",BOTTOM,,Curb,SA/RA Config.
d30d2592-e779-44e8-9b89-2a530fa7de29,78f73afa-17a6-4bd8-8c06-404d43d0d5f6,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"EA/OA Config.","unit":null,"value":"BOTTOM","category":"Curb"}",BOTTOM,,Curb,EA/OA Config.
d30d2592-e779-44e8-9b89-2a530fa7de29,81bd09d9-3779-4acf-a59f-291c7dfda7e6,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"MCA","unit":null,"value":"115","category":"Electrical"}",115,,Electrical,MCA
d30d2592-e779-44e8-9b89-2a530fa7de29,b5cf77a2-d301-4f75-8e29-72c240203db5,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"MOP","unit":null,"value":"115","category":"Electrical"}",115,,Electrical,MOP
d30d2592-e779-44e8-9b89-2a530fa7de29,a0f21722-f0c9-489b-aa08-89e3021d1b2a,419274a1-40e3-476d-a612-2a800ba9d919,,,,,b587274f-851a-4db2-a430-02c0c13ca0b2,kiloampere,"{"kind":"flat","type":"SCCR","unit":"KA","value":"10","category":"Electrical"}",10,KA,Electrical,SCCR
d30d2592-e779-44e8-9b89-2a530fa7de29,87ee2385-af56-46eb-a581-256cd79b5740,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Options/Accessories","unit":null,"value":"B","category":null}",B,,,Options/Accessories
d30d2592-e779-44e8-9b89-2a530fa7de29,ca6bc769-1ec2-43ee-bfd5-f8fe9e639692,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Model Number","unit":null,"value":"RN-020-3-0-HABY-V0-21-000-A","category":null}",RN-020-3-0-HABY-V0-21-000-A,,,Model Number
d30d2592-e779-44e8-9b89-2a530fa7de29,4d3be4e4-834a-46da-bcf6-7d382b9e18a2,419274a1-40e3-476d-a612-2a800ba9d919,,,,,,,"{"kind":"flat","type":"Keyed Notes","unit":null,"value":null,"category":null}",,,,Keyed Notes
d30d2592-e779-44e8-9b89-2a530fa7de29,c34f95d4-f476-4afb-873e-64ab966d49ac,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,,,"{"kind":"flat","type":"Area/System Served","unit":null,"value":"BAND/CHOIR","category":null}",BAND/CHOIR,,,Area/System Served
d30d2592-e779-44e8-9b89-2a530fa7de29,03632468-2440-47f7-9786-1a52f21fc5f4,11a00680-fb35-4e9f-aea1-43312d88b98b,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,,,"{"kind":"flat","type":"CFM","unit":null,"value":"4900","category":null}",4900,,,CFM
d30d2592-e779-44e8-9b89-2a530fa7de29,997bd8e5-5c4b-40ab-9f41-c43792774ec9,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Max-Min","unit":"CFM","value":"2635","category":"Minimum Outside Airflow"}",2635,CFM,Minimum Outside Airflow,Max-Min
d30d2592-e779-44e8-9b89-2a530fa7de29,80ad29a6-48c5-4e9e-8ed7-5056efa76775,11a00680-fb35-4e9f-aea1-43312d88b98b,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"ESP","unit":"in. WG","value":"1.50","category":"Supply Fan"}",1.50,in. WG,Supply Fan,ESP
d30d2592-e779-44e8-9b89-2a530fa7de29,48b3ab75-84dd-4879-b6a3-7a9672649deb,11a00680-fb35-4e9f-aea1-43312d88b98b,cb8c6b90-9701-476a-87e6-2e3c919b1050,Control Type,,,,,"{"kind":"flat","type":"Control Type","unit":null,"value":"DAT DSP-VAV","category":"Motor"}",DAT DSP-VAV,,Motor,Control Type
d30d2592-e779-44e8-9b89-2a530fa7de29,732c27b5-bb69-431b-92a7-d9baef5c0a4e,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"5.15","category":"Motor"}",5.15,,Motor,BHP
d30d2592-e779-44e8-9b89-2a530fa7de29,6c81e375-5763-4190-a170-211580924f7a,11a00680-fb35-4e9f-aea1-43312d88b98b,436ebb8d-e96c-4b05-9e52-601fe0335dea,CFM,,,,,"{"kind":"flat","type":"CFM","unit":null,"value":"4345","category":"Exhaust Fan"}",4345,,Exhaust Fan,CFM
d30d2592-e779-44e8-9b89-2a530fa7de29,ca9831ca-ed1c-46e5-993f-e46d2fccdb01,11a00680-fb35-4e9f-aea1-43312d88b98b,7d359b11-a93f-466b-a04d-688e6e3334cd,External Static Pressure in Water Column,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"ESP","unit":"in. WG","value":"0.75","category":"Exhaust Fan"}",0.75,in. WG,Exhaust Fan,ESP
d30d2592-e779-44e8-9b89-2a530fa7de29,f6da17b8-82f3-484d-86b2-41cbf3c69ccb,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,,,"{"kind":"flat","type":"BHP","unit":null,"value":"2.43","category":"Motor"}",2.43,,Motor,BHP
d30d2592-e779-44e8-9b89-2a530fa7de29,ece31dd9-08bd-477b-977b-9ec9d35f894e,11a00680-fb35-4e9f-aea1-43312d88b98b,e20e886d-fb80-4bb8-b25f-374b29304f6b,Efficiency,,,b50e82be-8884-60bd-1cd7-4378e71c41d6,Percent,"{"kind":"flat","type":"Efficiency","unit":"%","value":"66.5","category":"Heat Exchanger (Summer)"}",66.5,%,Heat Exchanger (Summer),Efficiency
d30d2592-e779-44e8-9b89-2a530fa7de29,d64060b5-e971-47f8-8470-3e201dd27d77,11a00680-fb35-4e9f-aea1-43312d88b98b,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total Capacity","unit":"MBH","value":"136","category":"Cooling Coil - Direct Expansion"}",136,MBH,Cooling Coil - Direct Expansion,Total Capacity
d30d2592-e779-44e8-9b89-2a530fa7de29,79e39ce5-f947-4021-ab4b-8ce03f0e34d5,11a00680-fb35-4e9f-aea1-43312d88b98b,6b991434-66c8-4d7d-929d-ff34a7df9384,Refrigerant Type,,,,,"{"kind":"flat","type":"Refrigerant Type","unit":null,"value":"R-32","category":"Integrated Air Cooled Condensing Unit"}",R-32,,Integrated Air Cooled Condensing Unit,Refrigerant Type
d30d2592-e779-44e8-9b89-2a530fa7de29,ca17002f-0ded-42ae-ad3f-f4bf4644a2a2,11a00680-fb35-4e9f-aea1-43312d88b98b,83366f87-b79f-405b-9781-fa6362d82445,Input,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Input","unit":"MBH","value":"195","category":"Capacity"}",195,MBH,Capacity,Input
d30d2592-e779-44e8-9b89-2a530fa7de29,1bd0d661-afcd-480c-b74c-d51a147c3106,11a00680-fb35-4e9f-aea1-43312d88b98b,29721d76-3701-443f-ad64-6c0e38fea762,Output,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Output","unit":"MBH","value":"158","category":"Capacity"}",158,MBH,Capacity,Output
d30d2592-e779-44e8-9b89-2a530fa7de29,15e13b29-ec01-4bcf-9302-cc39ca228b7a,11a00680-fb35-4e9f-aea1-43312d88b98b,6134d6e9-682b-4087-bf93-0ec5fdc07f9f,Coil Type,,,,,"{"kind":"flat","type":"Heat Exchanger Type","unit":null,"value":"DIRECT","category":"Heating Section - Gas Fired (Natural Gas)"}",DIRECT,,Heating Section - Gas Fired (Natural Gas),Heat Exchanger Type
d30d2592-e779-44e8-9b89-2a530fa7de29,34ff3f33-0ef0-457d-8a10-49c5392960b6,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,,,"{"kind":"flat","type":"Min","unit":null,"value":"6","category":"Manufacturer Required Inlet Pressure At Gas Train"}",6,,Manufacturer Required Inlet Pressure At Gas Train,Min
d30d2592-e779-44e8-9b89-2a530fa7de29,f466873a-ef94-46f4-a478-48b6973dbcaf,11a00680-fb35-4e9f-aea1-43312d88b98b,,,,,,,"{"kind":"flat","type":"Max","unit":null,"value":"10.5","category":"Manufacturer Required Inlet Pressure At Gas Train"}",10.5,,Manufacturer Required Inlet Pressure At Gas Train,Max
d30d2592-e779-44e8-9b89-2a530fa7de29,7937b3b2-2bca-4302-92fb-54e94f629914,11a00680-fb35-4e9f-aea1-43312d88b98b,ce1d6df2-55ae-4331-a614-f7446b0f8dcc,Filter Type,828c1e07-635d-480c-b0f7-bf107c53c118,MERV 13,,,"{"kind":"flat","type":"MERV","unit":null,"value":"13","category":"Outside Air Filters"}",13,,Outside Air Filters,MERV
d30d2592-e779-44e8-9b89-2a530fa7de29,76b018d8-11af-4efb-a39b-18792a62718b,11a00680-fb35-4e9f-aea1-43312d88b98b,847790a6-c415-430a-80ca-1f6b3360fd8d,Area,,,,,"{"kind":"flat","type":"Area","unit":"SQ. FT.","value":"6.7","category":"Outside Air Filters"}",6.7,SQ. FT.,Outside Air Filters,Area
d30d2592-e779-44e8-9b89-2a530fa7de29,6a3ca104-7b4c-437f-8f5d-eb56ff322a0b,11a00680-fb35-4e9f-aea1-43312d88b98b,778e1224-58f6-4cb6-af6f-7227bc5c219a,Height,,,,,"{"kind":"flat","type":"Height","unit":null,"value":"18","category":"Curb"}",18,,Curb,Height
d30d2592-e779-44e8-9b89-2a530fa7de29,08086653-f972-4c0c-a476-8a0ffb52918f,11a00680-fb35-4e9f-aea1-43312d88b98b,2da9ea27-8c84-4868-809b-002ec08f6315,Weight,,,,,"{"kind":"flat","type":"Unit Weight w/ Curb","unit":"LBS.","value":"4700","category":"Curb"}",4700,LBS.,Curb,Unit Weight w/ Curb
